location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,ipc_phase,ipc_type,population_in_phase,population_fraction_in_phase,reference_period_start,reference_period_end
AFG,True,True,,,,,,,0,1,current,5851033,0.26,2018-08-01,2018-10-31
AFG,True,True,,,,,,,0,2,current,6877624,0.3,2018-08-01,2018-10-31
AFG,True,True,,,,,,,0,3,current,7255036,0.32,2018-08-01,2018-10-31
AFG,True,True,,,,,,,0,4,current,2583371,0.11,2018-08-01,2018-10-31
AFG,True,True,,,,,,,0,5,current,0,0.0,2018-08-01,2018-10-31
AFG,True,True,,,,,,,0,all,first projection,22567065,1.0,2018-11-01,2019-02-28
AFG,True,True,,,,,,,0,3+,first projection,10628512,0.47,2018-11-01,2019-02-28
AFG,True,True,,,,,,,0,1,first projection,5153244,0.23,2018-11-01,2019-02-28
AFG,True,True,,,,,,,0,2,first projection,6785308,0.3,2018-11-01,2019-02-28
AFG,True,True,,,,,,,0,3,first projection,7731348,0.34,2018-11-01,2019-02-28
AFG,True,True,,,,,,,0,4,first projection,2897164,0.13,2018-11-01,2019-02-28
AFG,True,True,,,,,,,0,5,first projection,0,0.0,2018-11-01,2019-02-28
AFG,True,True,,,,,,,0,all,current,3926777,1.0,2017-11-01,2018-02-28
AFG,True,True,,,,,,,0,3+,current,1302047,0.33,2017-11-01,2018-02-28
AFG,True,True,,,,,,,0,1,current,1099982,0.28,2017-11-01,2018-02-28
AFG,True,True,,,,,,,0,2,current,1524747,0.39,2017-11-01,2018-02-28
AFG,True,True,,,,,,,0,3,current,891453,0.23,2017-11-01,2018-02-28
AFG,True,True,,,,,,,0,4,current,410594,0.1,2017-11-01,2018-02-28
AFG,True,True,,,,,,,0,5,current,0,0.0,2017-11-01,2018-02-28
AFG,True,True,,,,,,,0,all,current,29003956,1.0,2017-08-01,2017-11-30
AFG,True,True,,,,,,,0,3+,current,7605812,0.27,2017-08-01,2017-11-30
AFG,True,True,,,,,,,0,1,current,11452456,0.39,2017-08-01,2017-11-30
AFG,True,True,,,,,,,0,2,current,9945689,0.34,2017-08-01,2017-11-30
AFG,True,True,,,,,,,0,3,current,5710868,0.2,2017-08-01,2017-11-30
AFG,True,True,,,,,,,0,4,current,1894944,0.07,2017-08-01,2017-11-30
AFG,True,True,,,,,,,0,5,current,0,0.0,2017-08-01,2017-11-30
AFG,True,True,,,,,,,0,all,current,2991169,1.0,2017-05-01,2017-07-31
AFG,True,True,,,,,,,0,3+,current,762742,0.26,2017-05-01,2017-07-31
AFG,True,True,,,,,,,0,1,current,1085103,0.36,2017-05-01,2017-07-31
AFG,True,True,,,,,,,0,2,current,1143324,0.38,2017-05-01,2017-07-31
AFG,True,True,,,,,,,0,3,current,477363,0.16,2017-05-01,2017-07-31
AFG,True,True,,,,,,,0,4,current,285379,0.1,2017-05-01,2017-07-31
AFG,True,True,,,,,,,0,5,current,0,0.0,2017-05-01,2017-07-31
AFG,True,True,Badakhshan,,AF17,Badakhshan,,,1,all,current,982835,1.0,2017-11-01,2018-02-28
AFG,True,True,Badakhshan,,AF17,Badakhshan,,,1,3+,current,512103,0.52,2017-11-01,2018-02-28
AFG,True,True,Badakhshan,,AF17,Badakhshan,,,1,1,current,178258,0.18,2017-11-01,2018-02-28
AFG,True,True,Badakhshan,,AF17,Badakhshan,,,1,2,current,292473,0.3,2017-11-01,2018-02-28
AFG,True,True,Badakhshan,,AF17,Badakhshan,,,1,3,current,292284,0.3,2017-11-01,2018-02-28
AFG,True,True,Badakhshan,,AF17,Badakhshan,,,1,4,current,219819,0.22,2017-11-01,2018-02-28
AFG,True,True,Badakhshan,,AF17,Badakhshan,,,1,5,current,0,0.0,2017-11-01,2018-02-28
AFG,True,True,Takhar,,AF18,Takhar,,,1,all,current,1017575,1.0,2017-11-01,2018-02-28
AFG,True,True,Takhar,,AF18,Takhar,,,1,3+,current,370904,0.37,2017-11-01,2018-02-28
AFG,True,True,Takhar,,AF18,Takhar,,,1,1,current,197135,0.19,2017-11-01,2018-02-28
AFG,True,True,Takhar,,AF18,Takhar,,,1,2,current,449537,0.44,2017-11-01,2018-02-28
AFG,True,True,Takhar,,AF18,Takhar,,,1,3,current,284022,0.28,2017-11-01,2018-02-28
AFG,True,True,Takhar,,AF18,Takhar,,,1,4,current,86882,0.09,2017-11-01,2018-02-28
AFG,True,True,Takhar,,AF18,Takhar,,,1,5,current,0,0.0,2017-11-01,2018-02-28
AFG,True,True,Baghlan,,AF09,Baghlan,,,1,all,current,946394,1.0,2017-11-01,2018-02-28
AFG,True,True,Baghlan,,AF09,Baghlan,,,1,3+,current,223898,0.24,2017-11-01,2018-02-28
AFG,True,True,Baghlan,,AF09,Baghlan,,,1,1,current,306818,0.32,2017-11-01,2018-02-28
AFG,True,True,Baghlan,,AF09,Baghlan,,,1,2,current,415679,0.44,2017-11-01,2018-02-28
AFG,True,True,Baghlan,,AF09,Baghlan,,,1,3,current,179050,0.19,2017-11-01,2018-02-28
AFG,True,True,Baghlan,,AF09,Baghlan,,,1,4,current,44848,0.05,2017-11-01,2018-02-28
AFG,True,True,Baghlan,,AF09,Baghlan,,,1,5,current,0,0.0,2017-11-01,2018-02-28
AFG,True,True,Kunduz,,AF19,Kunduz,,,1,all,current,979973,1.0,2017-11-01,2018-02-28
AFG,True,True,Kunduz,,AF19,Kunduz,,,1,3+,current,195143,0.2,2017-11-01,2018-02-28
AFG,True,True,Kunduz,,AF19,Kunduz,,,1,1,current,417771,0.43,2017-11-01,2018-02-28
AFG,True,True,Kunduz,,AF19,Kunduz,,,1,2,current,367059,0.37,2017-11-01,2018-02-28
AFG,True,True,Kunduz,,AF19,Kunduz,,,1,3,current,136097,0.14,2017-11-01,2018-02-28
AFG,True,True,Kunduz,,AF19,Kunduz,,,1,4,current,59046,0.06,2017-11-01,2018-02-28
AFG,True,True,Kunduz,,AF19,Kunduz,,,1,5,current,0,0.0,2017-11-01,2018-02-28
AFG,True,True,Laghman,,AF07,Laghman,,,1,all,current,500738,1.0,2017-05-01,2017-07-31
AFG,True,True,Laghman,,AF07,Laghman,,,1,3+,current,131262,0.26,2017-05-01,2017-07-31
AFG,True,True,Laghman,,AF07,Laghman,,,1,1,current,164287,0.33,2017-05-01,2017-07-31
AFG,True,True,Laghman,,AF07,Laghman,,,1,2,current,195174,0.39,2017-05-01,2017-07-31
AFG,True,True,Laghman,,AF07,Laghman,,,1,3,current,84365,0.17,2017-05-01,2017-07-31
AFG,True,True,Laghman,,AF07,Laghman,,,1,4,current,46898,0.09,2017-05-01,2017-07-31
AFG,True,True,Laghman,,AF07,Laghman,,,1,5,current,0,0.0,2017-05-01,2017-07-31
AFG,True,True,Kunar,,AF15,Kunar,,,1,all,current,468127,1.0,2017-05-01,2017-07-31
AFG,True,True,Kunar,,AF15,Kunar,,,1,3+,current,98846,0.21,2017-05-01,2017-07-31
AFG,True,True,Kunar,,AF15,Kunar,,,1,1,current,210162,0.44,2017-05-01,2017-07-31
AFG,True,True,Kunar,,AF15,Kunar,,,1,2,current,150185,0.32,2017-05-01,2017-07-31
AFG,True,True,Kunar,,AF15,Kunar,,,1,3,current,65096,0.14,2017-05-01,2017-07-31
AFG,True,True,Kunar,,AF15,Kunar,,,1,4,current,33749,0.07,2017-05-01,2017-07-31
AFG,True,True,Nuristan,,AF16,Nuristan,,,1,all,current,127984,1.0,2017-05-01,2017-07-31
AFG,True,True,Nuristan,,AF16,Nuristan,,,1,3+,current,28415,0.23,2017-05-01,2017-07-31
AFG,True,True,Nuristan,,AF16,Nuristan,,,1,1,current,44972,0.35,2017-05-01,2017-07-31
AFG,True,True,Nuristan,,AF16,Nuristan,,,1,2,current,52037,0.41,2017-05-01,2017-07-31
AFG,True,True,Nuristan,,AF16,Nuristan,,,1,3,current,18598,0.15,2017-05-01,2017-07-31
AFG,True,True,Nuristan,,AF16,Nuristan,,,1,4,current,9817,0.08,2017-05-01,2017-07-31
AFG,True,True,Nuristan,,AF16,Nuristan,,,1,5,current,0,0.0,2017-05-01,2017-07-31
AFG,True,True,Nangarhar,,AF06,Nangarhar,,,1,all,current,1894320,1.0,2017-05-01,2017-07-31
AFG,True,True,Nangarhar,,AF06,Nangarhar,,,1,3+,current,471235,0.24,2017-05-01,2017-07-31
AFG,True,True,Nangarhar,,AF06,Nangarhar,,,1,1,current,662665,0.35,2017-05-01,2017-07-31
AFG,True,True,Nangarhar,,AF06,Nangarhar,,,1,2,current,740430,0.39,2017-05-01,2017-07-31
AFG,True,True,Nangarhar,,AF06,Nangarhar,,,1,3,current,292800,0.15,2017-05-01,2017-07-31
AFG,True,True,Nangarhar,,AF06,Nangarhar,,,1,4,current,178435,0.09,2017-05-01,2017-07-31
AFG,True,True,Nangarhar,,AF06,Nangarhar,,,1,5,current,0,0.0,2017-05-01,2017-07-31
AFG,True,True,Daykundi,,AF24,Daykundi,,,1,all,current,858718,1.0,2025-03-01,2025-04-30
AFG,True,True,Daykundi,,AF24,Daykundi,,,1,3+,current,300551,0.35,2025-03-01,2025-04-30
AFG,True,True,Daykundi,,AF24,Daykundi,,,1,1,current,214680,0.25,2025-03-01,2025-04-30
AFG,True,True,Daykundi,,AF24,Daykundi,,,1,2,current,343487,0.4,2025-03-01,2025-04-30
AFG,True,True,Daykundi,,AF24,Daykundi,,,1,3,current,257615,0.3,2025-03-01,2025-04-30
AFG,True,True,Daykundi,,AF24,Daykundi,,,1,4,current,42936,0.05,2025-03-01,2025-04-30
AFG,True,True,Daykundi,,AF24,Daykundi,,,1,5,current,0,0.0,2025-03-01,2025-04-30
AFG,True,True,Daykundi,,AF24,Daykundi,,,1,all,first projection,858718,1.0,2025-05-01,2025-10-31
AFG,True,True,Daykundi,,AF24,Daykundi,,,1,3+,first projection,257616,0.3,2025-05-01,2025-10-31
AFG,True,True,Daykundi,,AF24,Daykundi,,,1,1,first projection,257615,0.3,2025-05-01,2025-10-31
AFG,True,True,Daykundi,,AF24,Daykundi,,,1,2,first projection,343487,0.4,2025-05-01,2025-10-31
AFG,True,True,Daykundi,,AF24,Daykundi,,,1,3,first projection,214680,0.25,2025-05-01,2025-10-31
AFG,True,True,Daykundi,,AF24,Daykundi,,,1,4,first projection,42936,0.05,2025-05-01,2025-10-31
AFG,True,True,Daykundi,,AF24,Daykundi,,,1,5,first projection,0,0.0,2025-05-01,2025-10-31
AFG,True,True,Panjsher,,AF08,Panjsher,,,1,all,current,298834,1.0,2025-03-01,2025-04-30
AFG,True,True,Panjsher,,AF08,Panjsher,,,1,3+,current,89651,0.3,2025-03-01,2025-04-30
AFG,True,True,Panjsher,,AF08,Panjsher,,,1,1,current,59767,0.2,2025-03-01,2025-04-30
AFG,True,True,Panjsher,,AF08,Panjsher,,,1,2,current,149417,0.5,2025-03-01,2025-04-30
AFG,True,True,Panjsher,,AF08,Panjsher,,,1,3,current,74709,0.25,2025-03-01,2025-04-30
AFG,True,True,Panjsher,,AF08,Panjsher,,,1,4,current,14942,0.05,2025-03-01,2025-04-30
AFG,True,True,Panjsher,,AF08,Panjsher,,,1,5,current,0,0.0,2025-03-01,2025-04-30
AFG,True,True,Panjsher,,AF08,Panjsher,,,1,all,first projection,298834,1.0,2025-05-01,2025-10-31
AFG,True,True,Panjsher,,AF08,Panjsher,,,1,3+,first projection,74709,0.25,2025-05-01,2025-10-31
AFG,True,True,Panjsher,,AF08,Panjsher,,,1,1,first projection,74709,0.25,2025-05-01,2025-10-31
AFG,True,True,Panjsher,,AF08,Panjsher,,,1,2,first projection,149417,0.5,2025-05-01,2025-10-31
AFG,True,True,Panjsher,,AF08,Panjsher,,,1,3,first projection,59767,0.2,2025-05-01,2025-10-31
AFG,True,True,Panjsher,,AF08,Panjsher,,,1,4,first projection,14942,0.05,2025-05-01,2025-10-31
AFG,True,True,Panjsher,,AF08,Panjsher,,,1,5,first projection,0,0.0,2025-05-01,2025-10-31
AFG,True,True,Paktika,,AF12,Paktika,,,1,all,current,654909,1.0,2025-03-01,2025-04-30
AFG,True,True,Paktika,,AF12,Paktika,,,1,3+,current,163727,0.25,2025-03-01,2025-04-30
AFG,True,True,Paktika,,AF12,Paktika,,,1,1,current,229218,0.35,2025-03-01,2025-04-30
AFG,True,True,Paktika,,AF12,Paktika,,,1,2,current,261964,0.4,2025-03-01,2025-04-30
AFG,True,True,Paktika,,AF12,Paktika,,,1,3,current,130982,0.2,2025-03-01,2025-04-30
