location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,gender,age_range,min_age,max_age,population,reference_period_start,reference_period_end
AFG,True,True,Baghlan,,AF09,Baghlan,,,1,f,55-59,55,59,12645,2021-01-01,2021-12-31
AFG,True,True,Baghlan,,AF09,Baghlan,,,1,m,55-59,55,59,13349,2021-01-01,2021-12-31
AFG,True,True,Baghlan,,AF09,Baghlan,,,1,all,55-59,55,59,25994,2021-01-01,2021-12-31
AFG,True,True,Baghlan,,AF09,Baghlan,,,1,f,60-64,60,64,9386,2021-01-01,2021-12-31
AFG,True,True,Baghlan,,AF09,Baghlan,,,1,m,60-64,60,64,11811,2021-01-01,2021-12-31
AFG,True,True,Baghlan,,AF09,Baghlan,,,1,all,60-64,60,64,21197,2021-01-01,2021-12-31
AFG,True,True,Baghlan,,AF09,Baghlan,,,1,f,65-69,65,69,6610,2021-01-01,2021-12-31
AFG,True,True,Baghlan,,AF09,Baghlan,,,1,m,65-69,65,69,9132,2021-01-01,2021-12-31
AFG,True,True,Baghlan,,AF09,Baghlan,,,1,all,65-69,65,69,15742,2021-01-01,2021-12-31
AFG,True,True,Baghlan,,AF09,Baghlan,,,1,f,70-74,70,74,4061,2021-01-01,2021-12-31
AFG,True,True,Baghlan,,AF09,Baghlan,,,1,m,70-74,70,74,6162,2021-01-01,2021-12-31
AFG,True,True,Baghlan,,AF09,Baghlan,,,1,all,70-74,70,74,10223,2021-01-01,2021-12-31
AFG,True,True,Baghlan,,AF09,Baghlan,,,1,f,75-79,75,79,1738,2021-01-01,2021-12-31
AFG,True,True,Baghlan,,AF09,Baghlan,,,1,m,75-79,75,79,2901,2021-01-01,2021-12-31
AFG,True,True,Baghlan,,AF09,Baghlan,,,1,all,75-79,75,79,4639,2021-01-01,2021-12-31
AFG,True,True,Baghlan,,AF09,Baghlan,,,1,f,80+,80,None,2058,2021-01-01,2021-12-31
AFG,True,True,Baghlan,,AF09,Baghlan,,,1,m,80+,80,None,3344,2021-01-01,2021-12-31
AFG,True,True,Baghlan,,AF09,Baghlan,,,1,all,80+,80,None,5402,2021-01-01,2021-12-31
AFG,True,True,Balkh,,AF21,Balkh,,,1,f,all,None,None,956005,2021-01-01,2021-12-31
AFG,True,True,Balkh,,AF21,Balkh,,,1,m,all,None,None,986924,2021-01-01,2021-12-31
AFG,True,True,Balkh,,AF21,Balkh,,,1,all,all,None,None,1942929,2021-01-01,2021-12-31
AFG,True,True,Balkh,,AF21,Balkh,,,1,f,0-4,0,4,172041,2021-01-01,2021-12-31
AFG,True,True,Balkh,,AF21,Balkh,,,1,m,0-4,0,4,177886,2021-01-01,2021-12-31
AFG,True,True,Balkh,,AF21,Balkh,,,1,all,0-4,0,4,349927,2021-01-01,2021-12-31
AFG,True,True,Balkh,,AF21,Balkh,,,1,f,5-9,5,9,148119,2021-01-01,2021-12-31
AFG,True,True,Balkh,,AF21,Balkh,,,1,m,5-9,5,9,157739,2021-01-01,2021-12-31
AFG,True,True,Balkh,,AF21,Balkh,,,1,all,5-9,5,9,305858,2021-01-01,2021-12-31
AFG,True,True,Balkh,,AF21,Balkh,,,1,f,10-14,10,14,125065,2021-01-01,2021-12-31
AFG,True,True,Balkh,,AF21,Balkh,,,1,m,10-14,10,14,136980,2021-01-01,2021-12-31
AFG,True,True,Balkh,,AF21,Balkh,,,1,all,10-14,10,14,262045,2021-01-01,2021-12-31
AFG,True,True,Balkh,,AF21,Balkh,,,1,f,15-19,15,19,106350,2021-01-01,2021-12-31
AFG,True,True,Balkh,,AF21,Balkh,,,1,m,15-19,15,19,113160,2021-01-01,2021-12-31
AFG,True,True,Balkh,,AF21,Balkh,,,1,all,15-19,15,19,219510,2021-01-01,2021-12-31
AFG,True,True,Balkh,,AF21,Balkh,,,1,f,20-24,20,24,90499,2021-01-01,2021-12-31
AFG,True,True,Balkh,,AF21,Balkh,,,1,m,20-24,20,24,83891,2021-01-01,2021-12-31
AFG,True,True,Balkh,,AF21,Balkh,,,1,all,20-24,20,24,174390,2021-01-01,2021-12-31
AFG,True,True,Balkh,,AF21,Balkh,,,1,f,25-29,25,29,72997,2021-01-01,2021-12-31
AFG,True,True,Balkh,,AF21,Balkh,,,1,m,25-29,25,29,66075,2021-01-01,2021-12-31
AFG,True,True,Balkh,,AF21,Balkh,,,1,all,25-29,25,29,139072,2021-01-01,2021-12-31
AFG,True,True,Balkh,,AF21,Balkh,,,1,f,30-34,30,34,51088,2021-01-01,2021-12-31
AFG,True,True,Balkh,,AF21,Balkh,,,1,m,30-34,30,34,51267,2021-01-01,2021-12-31
AFG,True,True,Balkh,,AF21,Balkh,,,1,all,30-34,30,34,102355,2021-01-01,2021-12-31
AFG,True,True,Balkh,,AF21,Balkh,,,1,f,35-39,35,39,41357,2021-01-01,2021-12-31
AFG,True,True,Balkh,,AF21,Balkh,,,1,m,35-39,35,39,41889,2021-01-01,2021-12-31
AFG,True,True,Balkh,,AF21,Balkh,,,1,all,35-39,35,39,83246,2021-01-01,2021-12-31
AFG,True,True,Balkh,,AF21,Balkh,,,1,f,40-44,40,44,37938,2021-01-01,2021-12-31
AFG,True,True,Balkh,,AF21,Balkh,,,1,m,40-44,40,44,35633,2021-01-01,2021-12-31
AFG,True,True,Balkh,,AF21,Balkh,,,1,all,40-44,40,44,73571,2021-01-01,2021-12-31
AFG,True,True,Balkh,,AF21,Balkh,,,1,f,45-49,45,49,31642,2021-01-01,2021-12-31
AFG,True,True,Balkh,,AF21,Balkh,,,1,m,45-49,45,49,29661,2021-01-01,2021-12-31
AFG,True,True,Balkh,,AF21,Balkh,,,1,all,45-49,45,49,61303,2021-01-01,2021-12-31
AFG,True,True,Balkh,,AF21,Balkh,,,1,f,50-54,50,54,24325,2021-01-01,2021-12-31
AFG,True,True,Balkh,,AF21,Balkh,,,1,m,50-54,50,54,23645,2021-01-01,2021-12-31
AFG,True,True,Balkh,,AF21,Balkh,,,1,all,50-54,50,54,47970,2021-01-01,2021-12-31
AFG,True,True,Balkh,,AF21,Balkh,,,1,f,55-59,55,59,18911,2021-01-01,2021-12-31
AFG,True,True,Balkh,,AF21,Balkh,,,1,m,55-59,55,59,19752,2021-01-01,2021-12-31
AFG,True,True,Balkh,,AF21,Balkh,,,1,all,55-59,55,59,38663,2021-01-01,2021-12-31
