location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,operation,assessment_type,population,reporting_round,reference_period_start,reference_period_end
AFG,True,True,Kabul,Deh Sabz,AF01,Kabul,AF0105,Deh Sabz,2,Returns and displacement in Afghanistan,BA,20090,7,2018-12-31,2018-12-31
AFG,True,True,Kabul,Deh Sabz,AF01,Kabul,AF0105,Deh Sabz,2,Returns and displacement in Afghanistan,BA,21587,8,2019-06-30,2019-06-30
AFG,True,True,Kabul,Deh Sabz,AF01,Kabul,AF0105,Deh Sabz,2,Returns and displacement in Afghanistan,BA,25331,9,2019-12-31,2019-12-31
AFG,True,True,Kabul,Deh Sabz,AF01,Kabul,AF0105,Deh Sabz,2,Returns and displacement in Afghanistan,BA,27801,10,2020-06-30,2020-06-30
AFG,True,True,Kabul,Deh Sabz,AF01,Kabul,AF0105,Deh Sabz,2,Returns and displacement in Afghanistan,BA,31399,11,2020-12-31,2020-12-31
AFG,True,True,Kabul,Deh Sabz,AF01,Kabul,AF0105,Deh Sabz,2,Returns and displacement in Afghanistan,BA,47117,12,2021-03-30,2021-03-30
AFG,True,True,Kabul,Deh Sabz,AF01,Kabul,AF0105,Deh Sabz,2,Returns and displacement in Afghanistan,BA,51341,13,2021-06-30,2021-06-30
AFG,True,True,Kabul,Deh Sabz,AF01,Kabul,AF0105,Deh Sabz,2,Returns and displacement in Afghanistan,BA,58939,14,2021-12-31,2021-12-31
AFG,True,True,Kabul,Deh Sabz,AF01,Kabul,AF0105,Deh Sabz,2,Returns and displacement in Afghanistan,BA,69961,15,2022-04-30,2022-04-30
AFG,True,True,Kabul,Deh Sabz,AF01,Kabul,AF0105,Deh Sabz,2,Returns and displacement in Afghanistan,BA,72850,16,2022-12-31,2022-12-31
AFG,True,True,Kabul,Shakar Dara,AF01,Kabul,AF0106,Shakar Dara,2,Returns and displacement in Afghanistan,BA,23800,2,2017-06-30,2017-06-30
AFG,True,True,Kabul,Shakar Dara,AF01,Kabul,AF0106,Shakar Dara,2,Returns and displacement in Afghanistan,BA,2525,3,2017-12-31,2017-12-31
AFG,True,True,Kabul,Shakar Dara,AF01,Kabul,AF0106,Shakar Dara,2,Returns and displacement in Afghanistan,BA,136,4,2018-03-30,2018-03-30
AFG,True,True,Kabul,Shakar Dara,AF01,Kabul,AF0106,Shakar Dara,2,Returns and displacement in Afghanistan,BA,63,5,2018-06-30,2018-06-30
AFG,True,True,Kabul,Shakar Dara,AF01,Kabul,AF0106,Shakar Dara,2,Returns and displacement in Afghanistan,BA,70,6,2018-09-30,2018-09-30
AFG,True,True,Kabul,Shakar Dara,AF01,Kabul,AF0106,Shakar Dara,2,Returns and displacement in Afghanistan,BA,70,7,2018-12-31,2018-12-31
AFG,True,True,Kabul,Shakar Dara,AF01,Kabul,AF0106,Shakar Dara,2,Returns and displacement in Afghanistan,BA,112,8,2019-06-30,2019-06-30
AFG,True,True,Kabul,Shakar Dara,AF01,Kabul,AF0106,Shakar Dara,2,Returns and displacement in Afghanistan,BA,112,9,2019-12-31,2019-12-31
AFG,True,True,Kabul,Shakar Dara,AF01,Kabul,AF0106,Shakar Dara,2,Returns and displacement in Afghanistan,BA,322,10,2020-06-30,2020-06-30
AFG,True,True,Kabul,Shakar Dara,AF01,Kabul,AF0106,Shakar Dara,2,Returns and displacement in Afghanistan,BA,973,11,2020-12-31,2020-12-31
AFG,True,True,Kabul,Shakar Dara,AF01,Kabul,AF0106,Shakar Dara,2,Returns and displacement in Afghanistan,BA,6150,12,2021-03-30,2021-03-30
AFG,True,True,Kabul,Shakar Dara,AF01,Kabul,AF0106,Shakar Dara,2,Returns and displacement in Afghanistan,BA,6913,13,2021-06-30,2021-06-30
AFG,True,True,Kabul,Shakar Dara,AF01,Kabul,AF0106,Shakar Dara,2,Returns and displacement in Afghanistan,BA,10678,14,2021-12-31,2021-12-31
AFG,True,True,Kabul,Shakar Dara,AF01,Kabul,AF0106,Shakar Dara,2,Returns and displacement in Afghanistan,BA,11858,15,2022-04-30,2022-04-30
AFG,True,True,Kabul,Shakar Dara,AF01,Kabul,AF0106,Shakar Dara,2,Returns and displacement in Afghanistan,BA,16312,16,2022-12-31,2022-12-31
AFG,True,True,Kabul,Musahi,AF01,Kabul,AF0107,Musahi,2,Returns and displacement in Afghanistan,BA,32719,2,2017-06-30,2017-06-30
AFG,True,True,Kabul,Musahi,AF01,Kabul,AF0107,Musahi,2,Returns and displacement in Afghanistan,BA,1834,3,2017-12-31,2017-12-31
AFG,True,True,Kabul,Musahi,AF01,Kabul,AF0107,Musahi,2,Returns and displacement in Afghanistan,BA,6787,4,2018-03-30,2018-03-30
AFG,True,True,Kabul,Musahi,AF01,Kabul,AF0107,Musahi,2,Returns and displacement in Afghanistan,BA,7507,5,2018-06-30,2018-06-30
AFG,True,True,Kabul,Musahi,AF01,Kabul,AF0107,Musahi,2,Returns and displacement in Afghanistan,BA,7812,6,2018-09-30,2018-09-30
AFG,True,True,Kabul,Musahi,AF01,Kabul,AF0107,Musahi,2,Returns and displacement in Afghanistan,BA,7812,7,2018-12-31,2018-12-31
AFG,True,True,Kabul,Musahi,AF01,Kabul,AF0107,Musahi,2,Returns and displacement in Afghanistan,BA,8131,8,2019-06-30,2019-06-30
AFG,True,True,Kabul,Musahi,AF01,Kabul,AF0107,Musahi,2,Returns and displacement in Afghanistan,BA,8211,9,2019-12-31,2019-12-31
AFG,True,True,Kabul,Musahi,AF01,Kabul,AF0107,Musahi,2,Returns and displacement in Afghanistan,BA,8547,10,2020-06-30,2020-06-30
AFG,True,True,Kabul,Musahi,AF01,Kabul,AF0107,Musahi,2,Returns and displacement in Afghanistan,BA,10099,11,2020-12-31,2020-12-31
AFG,True,True,Kabul,Musahi,AF01,Kabul,AF0107,Musahi,2,Returns and displacement in Afghanistan,BA,14141,12,2021-03-30,2021-03-30
AFG,True,True,Kabul,Musahi,AF01,Kabul,AF0107,Musahi,2,Returns and displacement in Afghanistan,BA,15980,13,2021-06-30,2021-06-30
AFG,True,True,Kabul,Musahi,AF01,Kabul,AF0107,Musahi,2,Returns and displacement in Afghanistan,BA,19234,14,2021-12-31,2021-12-31
AFG,True,True,Kabul,Musahi,AF01,Kabul,AF0107,Musahi,2,Returns and displacement in Afghanistan,BA,21394,15,2022-04-30,2022-04-30
AFG,True,True,Kabul,Musahi,AF01,Kabul,AF0107,Musahi,2,Returns and displacement in Afghanistan,BA,22526,16,2022-12-31,2022-12-31
AFG,True,True,Kabul,Mir Bacha Kot,AF01,Kabul,AF0108,Mir Bacha Kot,2,Returns and displacement in Afghanistan,BA,581,2,2017-06-30,2017-06-30
AFG,True,True,Kabul,Mir Bacha Kot,AF01,Kabul,AF0108,Mir Bacha Kot,2,Returns and displacement in Afghanistan,BA,17115,3,2017-12-31,2017-12-31
AFG,True,True,Kabul,Mir Bacha Kot,AF01,Kabul,AF0108,Mir Bacha Kot,2,Returns and displacement in Afghanistan,BA,940,4,2018-03-30,2018-03-30
AFG,True,True,Kabul,Mir Bacha Kot,AF01,Kabul,AF0108,Mir Bacha Kot,2,Returns and displacement in Afghanistan,BA,871,5,2018-06-30,2018-06-30
AFG,True,True,Kabul,Mir Bacha Kot,AF01,Kabul,AF0108,Mir Bacha Kot,2,Returns and displacement in Afghanistan,BA,996,6,2018-09-30,2018-09-30
AFG,True,True,Kabul,Mir Bacha Kot,AF01,Kabul,AF0108,Mir Bacha Kot,2,Returns and displacement in Afghanistan,BA,996,7,2018-12-31,2018-12-31
AFG,True,True,Kabul,Mir Bacha Kot,AF01,Kabul,AF0108,Mir Bacha Kot,2,Returns and displacement in Afghanistan,BA,1437,8,2019-06-30,2019-06-30
AFG,True,True,Kabul,Mir Bacha Kot,AF01,Kabul,AF0108,Mir Bacha Kot,2,Returns and displacement in Afghanistan,BA,1402,9,2019-12-31,2019-12-31
AFG,True,True,Kabul,Mir Bacha Kot,AF01,Kabul,AF0108,Mir Bacha Kot,2,Returns and displacement in Afghanistan,BA,2088,10,2020-06-30,2020-06-30
AFG,True,True,Kabul,Mir Bacha Kot,AF01,Kabul,AF0108,Mir Bacha Kot,2,Returns and displacement in Afghanistan,BA,2277,11,2020-12-31,2020-12-31
AFG,True,True,Kabul,Mir Bacha Kot,AF01,Kabul,AF0108,Mir Bacha Kot,2,Returns and displacement in Afghanistan,BA,4620,12,2021-03-30,2021-03-30
AFG,True,True,Kabul,Mir Bacha Kot,AF01,Kabul,AF0108,Mir Bacha Kot,2,Returns and displacement in Afghanistan,BA,4741,13,2021-06-30,2021-06-30
AFG,True,True,Kabul,Mir Bacha Kot,AF01,Kabul,AF0108,Mir Bacha Kot,2,Returns and displacement in Afghanistan,BA,7393,14,2021-12-31,2021-12-31
AFG,True,True,Kabul,Mir Bacha Kot,AF01,Kabul,AF0108,Mir Bacha Kot,2,Returns and displacement in Afghanistan,BA,3987,15,2022-04-30,2022-04-30
AFG,True,True,Kabul,Mir Bacha Kot,AF01,Kabul,AF0108,Mir Bacha Kot,2,Returns and displacement in Afghanistan,BA,3811,16,2022-12-31,2022-12-31
AFG,True,True,Kabul,Khak-e-Jabbar,AF01,Kabul,AF0109,Khak-e-Jabbar,2,Returns and displacement in Afghanistan,BA,575,2,2017-06-30,2017-06-30
